,Path,Canonical,Transcript
0,train/dr6/mabc0/sa1,sh iy hh ae d y uh r d aa r k s uw t ih n g r iy s iy w ao sh w ao t er ao l y ih r,sh iy hh ae zh ah d aa r s uw dh ih n g r iy s ih w aa sh w uh dh er ao l y ih er
1,train/dr6/mabc0/sa2,d ow n t ae s k m iy t uw k ae r iy ae n oy l iy r ae g l ay k dh ae t,d ow n ae s m ih dh ih k eh r ih ih n oy l ih r ae l ay k dh ae
2,train/dr6/mabc0/sx331,dh ah b ih g d ao g l ah v d t uw ch uw ao n dh ah ow l d r ae g d aa l,dh ih b ih d ao l ah v t ah ch uw ah n iy ow l r ae d aa l
3,train/dr6/mabc0/sx61,ch ao k l ih t ae n d r ow z z n eh v er f ey l ae z ah r ow m ae n t ih k g ih f t,ch aa k l ih n r ow z ih z n eh v er f ey l z er r ah m ae n ih g ih f t
4,train/dr6/mabc0/sx241,dh ah hh ao l w ey ow p ah n z ih n t uw ah hh y uw jh ch ey m b er,dh hh ao w ey ow p ih n z ih n uw ih hh y uw jh ch ey m b er
5,train/dr6/mabc0/sx421,dh ow z hh uw t iy ch v ae l y uw z f er s t ah b aa l ih sh ch iy t ih ng,dh uh z hh uw t iy sh v ae l y uw z f er s t ih b aa l ih sh ch iy dh ih ng
6,train/dr6/mabc0/sx151,dh ah p r iy v iy ah s s p iy k er p r ah z eh t ih d ae m b ih g y uw ah s r ih z ah l t s,dh ih p r iy v iy ih s p iy k er p er z eh n ih dh ae m b ih y uw ih s r ih z ah l t s
7,train/dr6/mabc0/si781,ah g eh n dh iy z b l aa k s w er s eh t ih n r eh z ih n s ae ch uh r ey t ih d g l ae s k l ao th ae n d n ey l d,g eh n iy z b l aa s w er s eh dh ih n r eh z n s ae ch r ih dh ih g l ae s k l ao th ih n ey l d
8,train/dr6/mabc0/si1620,hh ih z hh eh d f l aa p t b ae k,hh ih z hh eh f l aa b ae k
9,train/dr6/mabc0/si2041,dh ah sh aa t r ih v er b er ey t ih d ih n d ah m ih n ih sh ih ng hh w ih p l ae sh ih z ah v s aw n d,dh sh aa r er v er v er ey dh ih dh ih n d m ih n ih sh ih ng w ih p l ae sh ih z v s aw n d
10,test/dr2/mabw0/sa1,sh iy hh ae d y uh r d aa r k s uw t ih n g r iy s iy w ao sh w ao t er ao l y ih r,sh ih hh ae jh er d aa r k s uw d ih ng g r ih s ih w ao sh w ao dh er ao l y ih er
11,test/dr2/mabw0/sa2,d ow n t ae s k m iy t uw k ae r iy ae n oy l iy r ae g l ay k dh ae t,d ao n ae s m iy dh ih k eh r ih ih n oy l iy r ae g l ay dh ae t
12,test/dr2/mabw0/sx134,d ih s eh m b er ae n d jh ae n y uw eh r iy aa r n ay s m ah n th s t uw s p eh n d ih n m ay ae m iy,d iy s eh m b er n jh ae n y uw ah r ih aa r n ay s m ah n t s t ih s p eh n eh n m ay ae m iy
13,test/dr2/mabw0/sx314,ih f p iy p l w er m ao r jh eh n er ih s dh ae r w uh d b iy n ow n iy d f ao r w eh l f ae r,ih f p iy p l w er m ao r jh eh n er ah s dh ah w uh b iy n ow n iy d f er w eh l f eh r
14,test/dr2/mabw0/sx44,b ae s k ih t b ao l k ae n b iy ae n eh n t er t ey n ih ng s p ao r t,b ae s k ih b ao k ih n b iy eh n ih n er t ey n ih ng s p ao r t
15,test/dr2/mabw0/sx224,hh aw g uh d ih z y uh r eh n d uh r n s,hh aw g uh ih zh er n d er n t s
16,test/dr2/mabw0/sx404,b aa r b b er n d p ey p er ae n d l iy v z ih n ah b ih g b aa n f ay er,b aa r b er n p ey p er n l iy v z ih n ah b ih b aa n f ay er
17,test/dr2/mabw0/si1230,p r ih n s ih z ae n d f ae k sh ih n z k l ae sh t ih n dh ah ow p ah n s t r iy t ae n d d ay d ao n dh ah ow p ah n s k ae f l d,p r eh n t s ih z eh n f ae k sh ih n z k l ae sh t ih n iy ow p ah n s t r iy dh ih n d ay dh ah n iy ow p ah n s k ae f l d
