,Path,Canonical,Transcript
0,thành_101_11,E m _1 r 7_X t _5b t_h i k _5b h wp a _1 h o Nm _2,r 7_X t _5b t_h i k _5b h wp a _1 h o Nm _2
1,thành_102_11,ts_ ie k _5b t_h M7 k _5b k E _3 m a_X w _2 k a m _1,ts_ u kp _5b ts_ u kp _5b tS E _3 m o t _6b S a N _1
2,thành_103_11,n a _1 d a N _1 v E _4 m o t _6b k o _1 G a j _5a,n a n _1 d a N _1 v E _4 m o t _6b k o _1 G a j _5a
3,thành_105_11,b o _5a m E _6a ts_ O _1 b E _5a v e _2 k wp e _1,b o _5a m E _6a ts_ O _1 b E _5a v e _2 m wp e _1
4,thành_106_12,h wp a _1 m a j _1 v a N _2,m a_X w _1 m a_X w _1 v e _2
5,thành_107_12,b E _5a r 7_X t _5b J 7 _5a b a _2,b E _5a v 7_X t _5b J 7 _5a b a _2
6,thành_108_12,t_h 7_X t _6b l a _2 t wp ie t _6b,t_h 7_X t _6b n a _2 t wp ie t _6b
8,thành_114_15,ts_ u _5a m E w _2 tS E w _2 k wp a _1 k M7 _3 S o _3,o _3 ts_ u _5a m E w _2 k a w _2 ts_ E w _2 k wp a _1 k M7 _3 S o _3
9,thành_116_15,m 7_X j _5a k O n _1 N M7 _6a d a N _1 a_X n _1 k O _3,m 7_X j _5a k O n _1 N M7 _6a d a N _1 a_X n _1 k O _3
12,thành_121_15,s E _1 k 7_X p _5b k M w _5a,s E _1 k 7_X p _5b k M w _5a s E _1 k 7_X p _5b k M w _5a
13,thành_123_15,k o _1 dZ a w _5a t_h 7_X t _6b G 7_X n _2 G u j _4,k o _1 dZ a w _5a t_h 7_X t _6b N 7_X n _2 G u j _4
14,thành_125_15,N a_X j _2 k uo j _5a t_h a N _5a n a_X m _1,N a_X j _2 k uo j _5a t a N _5a l a_X m _1
15,thành_128_15,J M N _4 M7 k _5b m 7 _1 k a w _1 d E p _6b,J M N _4 M7 k _5b m 7 _1 k a w _1 d E p _6b
16,thành_129_15,E m _1 t_h i k _5b h wp a _1 m a j _1 J 7_X t _5b,E m _1 t_h i k _5b h wp a _1 m a j _1 J 7_X t _5b
19,thành_130_15,k O n _1 G 7_X w _5a b o Nm _1 d E p _6b k wp a _5a,k O n _1 G 7_X w _5a b o Nm _1 d E p _6b wp a _5a
20,thành_131_16,G O_X kp _5b h O_X kp _6b t 7_X p _6b N a_X n _1 n a_X p _5b,G O_X kp _5b h O_X kp _6b t 7_X p _6b N a_X n _1 n a_X p _5b
21,thành_132_16,b a _2 m uo _1 k a m _1 ts_ O _1 b E _5a,b a _2 m uo _1 G a N _1 ts_ O _1 b E _5a o _2
22,thành_133_16,ts_ u kp _5b m M N _2 n a_X m _1 m 7 j _5a,ts_ u kp _5b m M N _2 n a_X m _1 m 7 j _5a
23,thành_134_16,m i J _2 v e _2 k wp e _1 t_h a_X m _1 o Nm _1 b a _2,m i J _2 v M7 _2 k wp a _1 t_h a_X m _1 o Nm _1 b a _2
24,thành_135_16,v M7 n _2 tS M7 _1 dZ O _5a m a t _5b,b uo n _2 tS M7 _1 t_h wp a N _5a m a t _5b
25,thành_136_16,ts_ 7 _6a h O p _6b 7 _3 b 7 _2 d e _1,ts_ 7 _6a h O p _6b 7 _3 b 7 _2 d e _1
26,thành_137_16,b a _2 d M7 _1 b E _5a d i _1 ts_ 7 _6a,ts_ 7 _6a b a _2 d M7 _1 b E _5a d i _1 ts_ 7 _6a
