,Path,Canonical,Transcript,Area,IdSpeaker
0,L2_arctic_WAV/NCC_arctic_a0003,f r er dh ah t w eh n t iy ah th t ay m dh ae t iy v n ih ng dh ah t uw m eh n sh uh k hh ae n z,f r er d ah t w eh n t iy ah th t ay m d ae t iy v l ih ng d ah t uw m eh n sh uh k hh ae n s,1,492
1,L2_arctic_WAV/NCC_arctic_a0005,w ih l w iy eh v er f er g eh t ih t,w ih w w iy eh v er f er g eh t ih t,1,492
2,L2_arctic_WAV/NCC_arctic_a0006,g aa d b l eh s ah m ay hh ow p ay l g ow aa n s iy ih ng dh eh m f er eh v er,g aa d b l eh s ah m ay hh ow p ay l g ow aa n s iy ih ng d eh m f er eh v er,1,492
3,L2_arctic_WAV/NCC_arctic_a0007,ae n d y uw ao l w iy z w aa n t t ih s iy ih t ih n dh ah s uh p er l ah t ih v d ih g r iy,ae n d y uw ao w iy s w aa n t t ih s iy ih t ih n d ah s uh p er l ey t ih v d ih g r iy,1,492
4,L2_arctic_WAV/NCC_arctic_a0008,g ae d y ao r l eh t er k ey m jh ah s t ih n t ay m,g ae d y ao r l eh t er k ey m jh ah s t ih ng t ay m,1,492
5,L2_arctic_WAV/NCC_arctic_a0010,ay m p l ey ih ng ah s ih ng g ah l hh ae n d ih n w ah t l uh k s l ay k ah l uw z ih ng g ey m,ay m p l ey ih ng ah s ih ng g ah w hh ae n d ih n w ah t l uh k s l ay k ah l uw z ih ng g ey m,1,492
6,L2_arctic_WAV/NCC_arctic_a0011,ih f ay eh v er n iy d ih d ah f ay t er ih n m ay l ay f ay n iy d w ah n n aw,ih f ay eh v er n iy d ih d ah f ay t er ih n m ay l ay f ay n iy d w ah n n aw,1,492
7,L2_arctic_WAV/NCC_arctic_a0013,hh iy w ah z ah hh eh d sh ao r t er dh ae n hh ih z k ah m p ae n y ah n ah v ao l m ow s t d eh l ah k ah t f ah z iy k,hh iy w ah z ah hh eh d sh ao r t er dh ae n hh ih z k ah m p ae n y ah n ao v ao l m ow s t d eh l ah k ey t f ah z ih k,1,492
8,L2_arctic_WAV/NCC_arctic_a0018,dh eh r w ah z ah ch ey n jh n aw,d eh r w ah z ah ch ey n jh n aw,1,492
9,L2_arctic_WAV/NCC_arctic_a0019,ay f aa l ow d dh ah l ay n ah v dh ah p r ah p ow z d r ey l r ow d l uh k ih ng f ao r ch ae n s ih z,ay f aa l ow d ah d ah l ay n ah v d ah p r ah p ow z d r ey w r ow d l uh k ih ng f ao r ch ae n s ih s,1,492
10,L2_arctic_WAV/NCC_arctic_a0020,k l ah b z ae n d b ao l z ae n d s ih t iy z g r uw t uw b iy ow n l iy m eh m er iy z,k l ae b s ae n d b ao s ae n d s ih l iy s g r uw t uw b iy ow ng l iy m eh m er iy z,1,492
11,L2_arctic_WAV/NCC_arctic_a0021,ih t f eh r l iy k l ah b d m iy ih n t uw r eh k ah g n ay z ih ng ih t,ih t f eh r l iy k l aa b d m iy ih n t uw r eh k ao g n ay z ih ng ih t,1,492
12,L2_arctic_WAV/NCC_arctic_a0022,hh aa r d l iy w er aa r p l ae n z m ey d p ah b l ih k b iy f ao r w iy w er m eh t b ay p aw er f ah l aa p ah z ih sh ah n,hh aa r d ah l iy w er aa r p l ae n s m ey d p aa b l ih k b iy f ao r w iy w er m eh t b ay p aw er f ah l aa p ah z ih sh ah n,1,492
13,L2_arctic_WAV/NCC_arctic_a0023,ah k aa m b ah n ey sh ah n ah v k ah n ey d iy ah n k ae p ah t ah l k w ih k l iy ao r g ah n ay z d ae n d p ah t ih sh ah n d f ao r dh ah s ey m p r ih v ih l ih jh ih z,ah k aa m b ah n ey sh ah n ah v k ah l ey d iy ah n k ae p ah t ah w k w ih k l iy ao r g ah n ay s t ae n d p ah t ih sh ah n d f ao r d ah s ih m p r ih v ih l ih jh ih s,1,492
14,L2_arctic_WAV/NCC_arctic_a0024,ih t w ah z m ay r ih p ao r t s f r ah m dh ah n ao r th w ih ch ch iy f l iy ih n d uw s t p iy p ah l t uw b ay,ih t w ah z m ay r ih p ao r t s f r ah n d ah n ao r th w ih ch ch ih f l iy ih n d uw s t p iy p ah t uw b ay,1,492
15,L2_arctic_WAV/NCC_arctic_a0025,ay w ah z ah b aw t t ih d uw dh ih s hh w eh n k uw l er jh ah jh m ah n t p r ih v ey l d,ay w ah z ah b aw t t ih d uw d ih s hh w eh n k uw d er jh ah jh m ah n t p r ih v ey l t,1,492
16,L2_arctic_WAV/NCC_arctic_a0026,ih t ah k er d t ih m iy dh ae t dh eh r w uh d hh ae v t uw b iy ae n ah k aw n t ih ng,ih t ah k er d t ih m iy d ae t dh eh r uh d hh ae v t uw b iy ae n ah k ao n t ih ng,1,492
17,L2_arctic_WAV/NCC_arctic_a0027,t uw m ay s ah p r ay z hh iy b iy g ae n t uw sh ow ae k sh ah l ih n th uw z iy ae z ah m ih n m ay f ey v er,t uw m ay s ah p r ay z hh iy b iy g ae n t uw sh ow ae k sh ah w ih n s uw d iy ae z ah m ih n m ay f ey v er,1,492
18,L2_arctic_WAV/NCC_arctic_a0028,r aa b er iy b r ay b er iy f r ao d,r aa b er iy b r ay b er iy f r ao d,1,492
19,L2_arctic_WAV/NCC_arctic_a0029,dh eh r f ao r s ih z w er ao l r eh d iy m uw v ih ng ih n t uw dh iy n ao r th k ah n t r iy,d eh r f ao r s ih s w er ao l r eh d iy m uw v ih ng ih n t uw d iy n ao r t k aa n t r iy,1,492
20,L2_arctic_WAV/NCC_arctic_a0030,ay hh ae d f ey th ih n dh ah m,ay hh ae d f ey t ih n dh ah m,1,492
21,L2_arctic_WAV/NCC_arctic_a0031,dh ey w er th r iy hh ah n d r ah d y aa r d z ah p aa r t,d ey w er th r iy hh ah n d r ey y aa r d s ah p aa r t,1,492
22,L2_arctic_WAV/NCC_arctic_a0032,s ih n s dh eh n s ah m m ih s t ih r iy ah s f ao r s hh ae z b ih n f ay t ih ng ah s ae t eh v r iy s t eh p,s iy n s d eh ng s ah m m ih s t ih r iy ah s f ao r s hh ae z b iy n f ay t ih ng ah s ae t eh v r iy s t eh p,1,492
23,L2_arctic_WAV/NCC_arctic_a0036,sh iy t er n d ih n ae t dh ah hh ow t eh l,sh iy t er n d iy ng ae t l ah hh ow t eh w,1,492
24,L2_arctic_WAV/NCC_arctic_a0037,ay w ah z dh ah ow n l iy w ah n hh uw r ih m ey n d s iy t ih ng,ay w ah z d ah ow n l iy w ah ng hh uw r ih m ey n d s ih t ih ng,1,492
25,L2_arctic_WAV/NCC_arctic_a0038,w ih l hh ae v t uw w aa ch aa r ch ae n s ih z,w ih w hh ae v t uw w ah ch aa r ch ae n s ih s,1,492
26,L2_arctic_WAV/NCC_arctic_a0039,dh ah sh ih p sh uh d b iy ih n w ih th ih n ah w iy k ao r t eh n d ey z,d ah sh ih p sh uh d b iy iy ng w ih th iy ng ah w iy k ao r t eh n d ey s,1,492
27,L2_arctic_WAV/NCC_arctic_a0040,ay s ah p ow z y uw w ah n d er w ay sh iy ih z k ah m ih ng ah p hh iy r,ay s ah p ow z y uw w ah n d er w ay sh iy ih z k ah m iy ng ah p hh iy r,1,492
28,L2_arctic_WAV/NCC_arctic_a0041,m iy n w ay l ay l g ow aw t t uw b r iy dh ah s p eh l,m iy ng w ay w ay w g ow aw t t uw b r eh dh ah s p eh w,1,492
29,L2_arctic_WAV/NCC_arctic_a0042,hh aw k uh d hh iy ih k s p l ey n hh ih z p ah z eh sh ah n ah v dh ah s k eh ch,hh aw k uh d hh iy ih k s p r ey n hh ih z p ah z eh sh ah n ah v dh ah s k eh ch,1,492
30,L2_arctic_WAV/NCC_arctic_a0045,hh iy m uw v d ah w ey ae z k w ay ah t l iy ae z hh iy hh ae d k ah m,hh iy m uw v d ah w ey ae s k w ih k l iy ae z hh iy hh ae d k ah m,1,492
31,L2_arctic_WAV/NCC_arctic_a0046,dh ah g er l f ey s t hh ih m hh er ay z sh ay n ih ng w ih th s ah d ah n f ih r,d ah g er l f eh s t hh ih m hh er ay z sh ih n ih ng w ih s s ah d ah n f ih r,1,492
32,L2_arctic_WAV/NCC_arctic_a0047,k l ow s b iy s ay d hh ih m g l iy m d dh ah w ay t f ae ng z ah v dh ah w uh l f d ao g,k r ow s b iy s ay d hh ih m g l iy m d d ah w ay t f ae ng z ah v d ah uh l f d ao k,1,492
33,L2_arctic_WAV/NCC_arctic_a0048,hh iy l uh k t ae t dh ah hh ae ng k er ch ih f m ao r k l ow s l iy,hh iy l uh k t ae t d ah hh ae ng k er ch ih f m ao r k l ow s l iy,1,492
34,L2_arctic_WAV/NCC_arctic_a0051,dh ah l ey s w ao z ah v ah d eh l ah k ah t ay v er iy k ah l er f ey n t l iy t ih n t ih d w ih th y eh l ow,d ah l ae s w ao z ah v ah d eh l ah k ey t ay v er iy k ah l er f ey n t ah l iy t iy ng t w ih s y eh l ow,1,492
35,L2_arctic_WAV/NCC_arctic_a0052,ih t w ah z ah k y uh r iy ah s k ow ih n s ih d ah n s,ih t w ah z ah k y uh r ah s k ow ih n s ih d ah n s,1,492
36,L2_arctic_WAV/NCC_arctic_a0053,s ah d ah n l iy hh ih z f ih ng g er z k l ow z d t ay t l iy ow v er dh ah hh ae ng k er ch iy f,s er t ah n iy hh ih z f ih ng g er z k r ow z d t aa t l iy ow v er d ah hh ae ng k er ch iy f,1,492
37,L2_arctic_WAV/NCC_arctic_a0054,dh eh r w ah z n ah th ih ng aa n dh ah r aa k,d eh r w ah z n ah t ih ng aa n d ah r ow k,1,492
38,L2_arctic_WAV/NCC_arctic_a0058,ay k ey m f ao r ih n f er m ey sh ah n m ao r aw t ah v k y uh r iy aa s ah t iy dh ae n eh n iy th ih ng eh l s,ay k ey m f ao r ih n f er m ey sh ah n m ao r aw t ah v k y uh r iy eh s ah t iy d ae n eh n iy t ih ng eh l s,1,492
39,L2_arctic_WAV/NCC_arctic_a0059,hh ih z ih m ae k y uw l ih t ah p ih r ah n s w ah z g ao n,hh ih s iy m ae k y uw l ey t ah p ih r ah n s w ah s g ao n,1,492
40,L2_arctic_WAV/NCC_arctic_a0060,eh n iy w ey n ow w ah n s ao hh er l ay k dh ae t,eh n iy w ey n ow w ah n s ao hh er l ay k d ae t,1,492
41,L2_arctic_WAV/NCC_arctic_a0062,dh ah m eh n s t eh r d ih n t uw iy ch ah dh er z f ey s,d ah m eh n s t eh r d ih n t uw iy ch ah dh er s f ey s,1,492
42,L2_arctic_WAV/NCC_arctic_a0063,y eh s ih t w ao z ah m ae n hh uw ae s k t ah s t r ey n jh er,y eh s ih t w ao s ah m ae n hh uw aa s k t ah s t r ey n jh er,1,492
43,L2_arctic_WAV/NCC_arctic_a0064,dh ah f ao r th ae n d f ih f th d ey z p ae s t w ih th aw t eh n iy d ih v eh l ah p m ah n t s,d ah f ao r th ae n d f ih f d ey p aa s t w ih t aw t eh n iy d ih v eh l ah p m ah n t s,1,492
44,L2_arctic_WAV/NCC_arctic_a0065,dh ey k l ow z d n aw ah n t ih l hh ih z f ih ng g er z w er l ay k k ao r d z ah v s t iy l,d ey k l ow s t n aw ah n t ih w hh ih z f iy ng g er s w er l ay k k ao r d z ah v s t ih w,1,492
45,L2_arctic_WAV/NCC_arctic_a0067,sh uh r l iy ay w ih l ih k s k y uw z y uw sh iy k r ay d,sh uh r l iy ay w ih w ih k s k y uw s y uw sh iy k r ay t,1,492
46,L2_arctic_WAV/NCC_arctic_a0071,hh w ah t w ah z dh ah aa b jh eh k t ah v y ao r l ih t ah l s eh n s ey sh ah n,hh w ah t w ah z d ah aa b jh eh k t ah v y ao r l iy t ah w s eh n s ey sh ah n,1,492
47,L2_arctic_WAV/NCC_arctic_a0073,dh ah p r ah m ow t er z ay z w er hh eh v iy w ih dh l ih t ah l p ah f iy b ae g z ah n d er dh eh m,d ah p r ah m ow t er z ay s w er hh eh v iy w iy d l iy t ah w p ah f iy b ae g s ah n d er d eh m,1,492
48,L2_arctic_WAV/NCC_arctic_a0075,dh eh r hh ae z b ih n ah ch ey n jh sh iy ih n t er ah p t ih d hh ih m,d eh r hh ae z b iy ng ah ch ey n jh sh iy ih n t er ah p t ih d hh ih m,1,492
49,L2_arctic_WAV/NCC_arctic_a0076,dh ah g r ey ay z f aa l t er d dh ah f l ah sh d iy p ah n d,d ah g r ey ay s f ae w t er d d ah f l ah sh d iy p ah n d,1,492
50,L2_arctic_WAV/NCC_arctic_a0077,ih t ih z dh ah f ay er p aa r t l iy sh iy s eh d,ih t ih z d ah f ay er p aa r t l* iy sh iy s eh d,1,492
51,L2_arctic_WAV/NCC_arctic_a0078,dh eh n ae n d ae t s ah p er hh iy t r ay d t uw f ae dh ah m hh er,d eh n ae n d ae t s uh p er hh iy t r ay d t uw f ae th ah m hh er,1,492
52,L2_arctic_WAV/NCC_arctic_a0079,ih t w ah z ah l aa r jh k ah n uw,ih t w ah z ah l aa r jh k ae n uw,1,492
53,L2_arctic_WAV/NCC_arctic_a0081,hh w ah t ih f sh iy d ih d n aa t k ah m t uw dh ah r aa k,hh w ah t ih f sh iy d ih d n aa t k ah m t uw d ah r aa k,1,492
54,L2_arctic_WAV/NCC_arctic_a0082,hh ih z f ey s w ah z s t r iy m ih ng w ih th b l ah d,hh ih z f ey s w ah z s t r iy m ih ng w ih s b l ah d,1,492
55,L2_arctic_WAV/NCC_arctic_a0085,ah t r ih k ah l ah v f r eh sh b l ah d r ae n ow v er hh ih z f ey s,ah t r ih k ah w ah v f l ae sh b l ah d r ae ng ow v er hh ih z f ey s,1,492
56,L2_arctic_WAV/NCC_arctic_a0086,d eh th hh ae d k ah m w ih th t eh r ah b ah l s ah d ah n n ah s,d eh s hh ae d k ah m w ih s t eh r ah b ah w s er d ah n n ah s,1,492
57,L2_arctic_WAV/NCC_arctic_a0088,hh iy m ey d sh uh r dh ae t dh ah m ae g ah z iy n w ah z l ow d ih d ae n d r iy z uw m d hh ih z p ae d ah l ih ng,hh iy m ey d sh uh r d ae t d ah m ae g ah s iy n w ah z l ow d ih d ae n d r iy s uw m d hh ih s p ae d ah l ih ng,1,492
58,L2_arctic_WAV/NCC_arctic_a0089,dh ah n ay t g l ow w ao z t r eh ch er ah s t uw sh uw t b ay,d ah n aa* t g l ow w ao s t r eh ch er ah s t uw sh uw t b ay,1,492
59,L2_arctic_WAV/NCC_arctic_a0090,dh ah s ih ng ih ng v oy s ah p r ow ch t r ae p ah d l iy,d ah s ih ng w oy s ah p r ow ch t r ae p ah d l iy,1,492
60,L2_arctic_WAV/NCC_arctic_a0091,hh ih z b l ah d g r uw hh aa t w ih th r ey jh ae t dh ah th ao t,hh ih s b l ah d g r uw hh aa t w ih s r ae d ae t d ah th ao t,1,492
61,L2_arctic_WAV/NCC_arctic_a0092,hh iy w eh n t d aw n ih n m ih d s t r iy m s er ch ih ng dh ah sh ae d ow z ah v b ow th sh ao r z,hh iy w eh n t d aw n ih n m ih d s t r iy m s er ch ih ng d ah sh ae l ow s ah v b ow th sh ao r s,1,492
62,L2_arctic_WAV/NCC_arctic_a0093,f ao r ah f uh l m ih n ah t hh iy k r aw ch t ae n d l ih s ah n d,f ao r ah f uh w m ih n ah t hh iy k r aa n ch t ae n d ah l eh s ah n d,1,492
63,L2_arctic_WAV/NCC_arctic_a0094,hh iy hh ae d b eh r l iy eh n t er d dh ih s hh w eh n hh iy s ao dh ah g l ow ah v ah f ay r,hh iy hh ae d b eh r l iy eh n t er d d ih s hh w eh n hh iy s ao d ah g l ow ah v ah f ay r,1,492
64,L2_arctic_WAV/NCC_arctic_a0095,ah b ih g k ae n v ah s t eh n t w ao z dh ah f er s t th ih ng t uw k ah m w ih th ih n hh ih z v ih zh ah n,ah b ih g k ae n v ah s t eh n t w ao z d ah f er s t th ih ng t uw k ah m w ih t iy ng hh ih z v ih zh ah n,1,492
65,L2_arctic_WAV/NCC_arctic_a0096,p er hh ae p s sh iy hh ae d ao l r eh d iy m eh t hh er f ey t ah l ih t ah l d iy p er ih n dh ah f ao r ah s t,p er hh ae p s sh iy hh ae d ao r eh d iy m eh t hh er f ey t ah l iy t ah d iy p er ih n d ah f ao r ah s t,1,492
66,L2_arctic_WAV/NCC_arctic_a0097,dh eh n y uw k ae n er ey n jh y er s eh l f k ah m f er t ah b l iy ah m ah ng dh iy z r ow b z ih n dh ah b ow,d eh ng y uw k ae ng er ae n jh y er s eh l f k ah m f er t ah b l iy ah m ah n d iy z r ow p s iy ng d ah b ow,1,492
67,L2_arctic_WAV/NCC_arctic_a0098,sh ae l ay k eh r iy y uw,sh ae ay k eh r iy y uw,1,492
68,L2_arctic_WAV/NCC_arctic_a0099,ah m ae d ah n ih ng jh oy p aw n d ih d ih n hh ih z b r ey n,ah m ae n d ah l ih ng jh oy p aw n d ih d iy ng hh ih s b r ey ng,1,492
69,L2_arctic_WAV/NCC_arctic_a0100,y uw m ah s t s l iy p hh iy er jh d,y uw m ah s t s l iy p hh iy er jh d,1,492
70,L2_arctic_WAV/NCC_arctic_a0101,y uw y uw w uh d n aa t k iy p dh ah t r uw th f r ah m m iy,y uw y uw uh d n aa t k iy p d ah t r uw s f r ah m m iy,1,492
71,L2_arctic_WAV/NCC_arctic_a0102,hh iy w ih l f aa l ow ah s s uw n,hh iy w ih w f aa l ow ah s s uw n,1,492
72,L2_arctic_WAV/NCC_arctic_a0103,b ah t dh eh r k ey m n ow p r aa m ah s f r ah m dh ah b ow ah v dh ah k ah n uw,b ah t d eh r k ey m n ow p r aa m ah s f r ah n d ah b ow ah v d ah k ao n uw,1,492
73,L2_arctic_WAV/NCC_arctic_a0104,sh iy w ah z s l iy p ih ng ah n d er hh ih z p r ah t eh k sh ah n ae z s w iy t l iy ae z ah ch ay l d,sh iy w ah z ah s l iy p ih ng ah ng d er hh ih s p r ah t eh k sh ah n ae z s w ih t l iy ae s ah ch ae w t,1,492
74,L2_arctic_WAV/NCC_arctic_a0105,ow n l iy ih t ih z s ow w ah n d er f ah l s ow ao l m ow s t ih m p aa s ah b ah l t ah b ih l iy v,ow ng l iy ih t ih z s ow w ah ng d er f ah l r s ow ao m ow s t ih m p aa s b ah w t ah b ih l iy p,1,492
75,L2_arctic_WAV/NCC_arctic_a0106,dh ah iy m ow sh ah n w ih ch sh iy hh ae d s ah p r eh s t b er s t f ao r th n aw ih n ah ch ow k ih ng s aa b,d ah iy m ow sh ah n w ih ch sh iy hh ae d s ah p r eh s t b er s t f ao r th n aw iy ng ah ch ow k ih ng s ow b,1,492
76,L2_arctic_WAV/NCC_arctic_a0107,ih f y uw ow n l iy k uh d n ow hh aw ay th ae ng k y uw,ih f y uw ow ng l iy k uh d n ow hh aw ay th ae ng k y uw,1,492
77,L2_arctic_WAV/NCC_arctic_a0108,hh iy w ey d ih d ih n t ah dh iy eh jh ah v dh iy w ao t er ae n d b iy g ae n s k r ah b ih ng hh ih m s eh l f,hh iy w eh d ih d iy ng t ah aa ey jh ah v d iy w ao t er ae n d b iy g iy ng s k r ae b ih ng hh ih m s eh w f,1,492
78,L2_arctic_WAV/NCC_arctic_a0109,d uw y uw n ow dh ae t y uw aa r sh ey k ih ng m ay k aa n f ah d ah n s ih n y uw,d uw y uw n ow d ae t y uw aa sh ey k ih ng m ay k aa n f ah d ah n s ih n y uw,1,492
79,L2_arctic_WAV/NCC_arctic_a0111,ih n s t eh d hh iy jh oy n d hh er ae n d dh ey ey t l ay k t uw hh ah ng g r iy ch ih l d r ah n,ih n s t ae d hh iy jh oy n d hh er ae n d dh ey ey t l ay k t uw hh ah ng g r iy ch ih l d r ah n,1,492
80,L2_arctic_WAV/NCC_arctic_a0112,hh iy w ah z w uw n d ih d ih n dh ah aa r m,hh iy w ah z w ao n d ih d iy n d ah aa r m,1,492
81,L2_arctic_WAV/NCC_arctic_a0113,ay s ah p ow z y uw p ih k t dh ae t l ih ng g ow ah p ah m ah ng dh ah ih n d iy ah n z,ay s ah p ow z y uw p ih k t d ae t l ih ng g ow ah p ah m aw n d ah ih n d iy ah n z,1,492
82,L2_arctic_WAV/NCC_arctic_a0115,hh iy hh ae d n ow ih k s k y uw z f r er dh ah f iy l ih ng z w ih ch w er er aw z d ih n hh ih m,hh iy hh ae d n ow ih k s k y uw z f r er d ah f iy l ih ng z w ih ch w er er aw s t iy ng hh ih m,1,492
83,L2_arctic_WAV/NCC_arctic_a0116,w ah z ih t dh ah r aa n d ih v uw ah v dh ow z hh uw w er s t r ay v ih ng t uw w er k hh ih z r uw ih n,w ah z ih t d ah r aa n d ih v uw s ah v d ow s hh uw w er s t r aa v ih ng t uw w er k hh ih z r uw iy n,1,492
84,L2_arctic_WAV/NCC_arctic_a0117,sh iy ae d ih d w ih dh jh eh n y ah w ah n s ih m p ah th iy ih n hh er f ey s ae n d v oy s,sh iy ae d ih d w ih z jh eh n y ah w iy n s ih m f ah th iy iy ng hh er f ey s ae n d ah v oy s,1,492
85,L2_arctic_WAV/NCC_arctic_a0120,m ay r ay t f uh t f iy l z l ay k dh ae t ah v ah ch ay n iy z d eh b y ah t aa n t,m ay r ae t f uh t f iy w s l ay k d ae t ah v ah ch ay n iy z d eh b y ah t aa ng t,1,492
86,L2_arctic_WAV/NCC_arctic_a0121,dh ey ey t d ih n er ae t dh ah f ih f th ae n d r eh s t ih d f ao r t uw aw er z,d ey ey t d ih n er ae t d ah f ih f ae n d ah r eh s t ih d f ao r d ah t uw aw er s,1,492
87,L2_arctic_WAV/NCC_arctic_a0122,t uw y er z ah g ow ay g ey v ah p s ih v ah l ih z ey sh ah n f r er dh ih s,t uw y er s ah g ow ay g ey v ah p s ih v ah l ih s ey sh ah n f r er d ih s,1,492
88,L2_arctic_WAV/NCC_arctic_a0123,sh iy hh ae d d ay d f r ah m k ow l d ae n d s t aa r v ey sh ah n,sh iy hh eh d d aa d f r ao ng k ow w d ae n d ah s t aa r v ey sh ah n,1,492
89,L2_arctic_WAV/NCC_arctic_a0125,hh iy w ah z d ih t er m ah n d n aw t ih m ey n t ey n ah m ao r s er t ah n hh ow l d ah p aa n hh ih m s eh l f,hh iy w ah s t er m iy n d n aw t ih m ey n t ey ng ah m ao r s er t ah ng hh ow w d ah p ae ng hh ih m s eh w f,1,492
90,L2_arctic_WAV/NCC_arctic_a0126,iy ch d ey sh iy b iy k ey m ah m ao r v ay t ah l p aa r t ah v hh ih m,iy ch d ey sh iy b iy k ey m ah m ao r v ay t ah w p aa r t ah v hh ih m,1,492
91,L2_arctic_WAV/NCC_arctic_a0127,ih t w ah z ah t eh m t ey sh ah n b ah t hh iy r iy z ih s t ih d ih t,ih t w ah s ah t eh m t ey sh ah n b ah t hh iy r iy z ih s t ih d ih t,1,492
92,L2_arctic_WAV/NCC_arctic_a0128,dh ih s w ah n hh ow p w ao z d ih s t r oy d ae z k w ih k l iy eh z ih t w ao z b ao r n,d ih s w ah ng hh ow p w ao z d ih s t r oy d ae z k w ih k l iy eh z ih t w ah r b ow n,1,492
93,L2_arctic_WAV/NCC_arctic_a0129,hh er f ey s w ao z ah g ey n s t hh ih z b r eh s t,hh er f ey s w ao z ah g ey ng s t hh ih z b r eh s t,1,492
94,L2_arctic_WAV/NCC_arctic_a0130,sh iy w ah z hh ih z n aw f er eh v er,sh iy w ah s hh ih s n aw f er eh v er,1,492
95,L2_arctic_WAV/NCC_arctic_a0131,p r aa v ah d ah n s hh ae d d ih l ih v er d hh ih m th r uw dh iy m ey l s t r ah m,p r aa v ah d ah n s hh ae d ah d ih l iy v er d hh ih m th r uw d iy m ey w s t r ah m,1,492
96,L2_arctic_WAV/NCC_arctic_a0134,hh iy ow b ey d dh ah p r eh sh er ah v hh er hh ae n d,hh iy ao b ey d d ah p r eh sh er ah v hh er hh ae n d,1,492
97,L2_arctic_WAV/NCC_arctic_a0136,ah b aw t hh ih m eh v r iy w eh r w er dh ah eh v ah d ah n s ah z ah v l ah g zh er iy ae n d ah v ey jh,ah b aw t hh iy ng eh v r iy w eh r w er d ah eh v ah d ah n s iy s ah v l ah g sh er iy ae n d ah v l ey ch,1,492
98,L2_arctic_WAV/NCC_arctic_a0137,dh eh n hh iy s t eh p t b ae k w ih dh ah l ow k r ay ah v p l eh zh er,d eh n hh iy s t eh p t ah b ae k w ih d ah l ow k r ay w ah v p l eh zh er,1,492
