,Path,Canonical,Transcript,Area
0,L2_arctic_WAV/HQTV_arctic_a0003,f ao r dh ah t w eh n t iy ih th t ay m dh ae t iy v n ih ng dh ah t uw m eh n sh uh k hh ae n d z,f ao d ah t w eh n d iy ih t t aa* m d ae t iy v ah n ih ng d ah t uw m eh n sh ao k hh eh n s,5
1,L2_arctic_WAV/HQTV_arctic_a0005,w ih l w iy eh v er f ao r g eh t ih t,w iy w iy eh v ah f ao g eh t iy t,5
2,L2_arctic_WAV/HQTV_arctic_a0006,g aa d b l eh s eh m ay hh ow p ay l g ow aa n s iy ih ng dh ah m f er eh v er,g aa d* b l eh s eh m ay hh ao v ay g ow ah n s iy ih ng d ah m f er eh v er,5
3,L2_arctic_WAV/HQTV_arctic_a0007,ae n d y uw ao l w ey z w aa n t t ih s iy ih t ih n dh ah s uh p er l ah t ih v d ih g r iy,ae n d y uw ow n w ey w aa n t t ih s iy ih t ih n d ah s uh p er l ae t ih f d ih g r iy,5
4,L2_arctic_WAV/HQTV_arctic_a0008,g ae d y uh r l eh t er k ey m jh ah s t ih n t ay m,g ae t y uh l eh t ah k ae m jh ah s ih n t aa* m,5
5,L2_arctic_WAV/HQTV_arctic_a0010,ay m p l ey ih ng ah s ih ng g ah l hh ae n d ih n w ah t l uh k s l ay k ah l uw z ih ng g ey m,aa* m b l ey ih ng ah s ih ng g ow* hh ae n ih n w aa* t l uh k s l ay ah l uw z ih ng g eh* m,5
6,L2_arctic_WAV/HQTV_arctic_a0011,ih f ay eh v er n iy d ih d ah f ay t er ih n m ay l ay f ay n iy d hh w ah n n aw,ih b ay eh v ah n iy d iy d ah f ay t ah ih n m ay l ay f ay n iy d hh w ah n n aw,5
7,L2_arctic_WAV/HQTV_arctic_a0013,hh iy w ao z ah hh eh d sh ao r t er dh ae n hh ih z k ah m p ae n y ah n ah v ao l m ow s t d eh l ah k ah t f ah z iy k,hh iy w ao z ah hh eh t sh ao t ah d ae n hh ih s k ah m p ae n y ah n ao p ao m ow z d eh l iy k ey f iy s ih k,5
8,L2_arctic_WAV/HQTV_arctic_a0018,dh eh r w ah z ah ch ey n jh n aw,d eh z w ah z ah ch ey n sh n aw,5
9,L2_arctic_WAV/HQTV_arctic_a0019,ay f aa l ow d dh ah l ay n ah v dh ah p r ah p ow z d r ey l r ow d l uh k ih ng f ao r ch ae n s ih z,ay f ao l ow d d ah l ay aa* p p r ah p ow z r ey w r ow l uh k ih ng f ao ch ae n z,5
10,L2_arctic_WAV/HQTV_arctic_a0020,k l ah b z ae n d b ao l z ae n d s ih t iy z g r uw t ih b iy ow n l iy m eh m er iy z,k l ah f s ae n d b ow n ae n d s iy t iy z k r uw t ih b iy ao n l iy m eh m er iy z,5
11,L2_arctic_WAV/HQTV_arctic_a0021,ih t f eh r l iy k l ah b d m iy ih n t uw r eh k ah g n ay z ih ng ih t,iy s f eh l iy k l aa* b m iy iy n t uw r eh k ah n ay z ih ng ih t,5
12,L2_arctic_WAV/HQTV_arctic_a0022,hh aa r d l iy w er aw r p l ae n z m ey d p ah b l ih k b ah f ao r w iy w er m eh t b ay p aw er f ah l aa p ah z ih sh ah n,hh er r t l iy w ah w aw ah p l ae n z m eh k p ah b l ih k b iy f ao w w iy w er m eh t b ay p aw ah f ah n aa p ah z ih s ah n,5
13,L2_arctic_WAV/HQTV_arctic_a0023,ah k aa m b ah n ey sh ah n ah v k ah n ey d iy ah n k ae p ih t ah l k w ih k l iy ao r g ah n ay z d ah n d p ah t ih sh ah n d f ao r dh ah s ey m p r ih v l ih jh ih z,ah k aa m b ay n ey sh ah n ah p k ah n ey d iy ah n z k ae p iy t ah w w ih k l iy ao g ah n ay s ah n d p ae t ih sh ah n f ao d ah s ae m p r ih v l ih z,5
14,L2_arctic_WAV/HQTV_arctic_a0024,ih t w aa z m ay r ih p ao r t s f r ah m dh ah n ao r th w ih ch ch iy f l iy ih n d uw s t p iy p ah l t uw b ay,ih s w aa r m ay r ih p ao t f r ao m d ah n ao t w iy ch ch ey* p l iy ih n d uw t p iy p ow* t uw b ay,5
15,L2_arctic_WAV/HQTV_arctic_a0025,ay w ao z ah b aw t t ih d uw dh ih s w eh n k uw l er jh ah jh m ah n t p r iy v ey l d,ay w ao z ah b aw t t ih d uw d iy s w eh n k uw l ah jh ah s m ah n r iy v ay,5
16,L2_arctic_WAV/HQTV_arctic_a0026,ih t ah k er d t uw m iy dh ae t dh eh r w uh d hh ae v t ih b iy ah n ah k aw n t ih ng,ih s ah k er d t uw m iy d ae t d eh w uh t n hh ae v t ih b iy ah n ah k aw t ih ng,5
17,L2_arctic_WAV/HQTV_arctic_a0027,t uw m ay s er p r ay z hh iy b ah g ae n t uw sh ow ae k ch ah w ah l ih n th uw z iy ae z ah m ih n m ay f ey v er,t uw m ay s ah b r ay z hh iy b iy g ae n t uw sh ow ae k t w ah ih n t uw z iy ah m s ih n m ay f ey v er,5
18,L2_arctic_WAV/HQTV_arctic_a0028,r aa b er iy b r ay b er iy f r ao d,r ao b er iy b r iy b er iy f r ow t,5
19,L2_arctic_WAV/HQTV_arctic_a0029,dh eh r f ao r s ih z w er ao l r eh d iy m uw v ih ng ih n t uw dh ah n ao r th k ah n t r iy,d eh ah f ao* s w ah ao r eh d iy m uw v ih ng ih n t uw d ah n ao th k ah n t r iy,5
20,L2_arctic_WAV/HQTV_arctic_a0030,ay hh ae d f ey th ih n dh eh m,ay hh ae v f ey* th ih n d eh m,5
21,L2_arctic_WAV/HQTV_arctic_a0031,dh ey w er th r iy hh ah n d r ah d y aa r d z ah p aa r t,d ey w er t r iy hh ah n d r ah s y aa* s ah b aa r,5
22,L2_arctic_WAV/HQTV_arctic_a0032,s ih n s dh eh n s ah m m ih s t iy r iy ah s f ao r s hh ae z b ih n f ay t ih ng ah s ae t eh v r iy s t eh p,s iy n d eh n s ah m m ih s t ih r iy ah s f ao s hh ae z b iy n f ay t ih ng ah s ae t ae v r iy s t eh f,5
23,L2_arctic_WAV/HQTV_arctic_a0036,sh iy t er n d ih n ae t dh ah hh ow t eh l,sh iy t ah n iy n t uw d ah hh ow t eh w,5
24,L2_arctic_WAV/HQTV_arctic_a0037,ay w ao z dh iy ow n l iy w ah n hh uw r iy m ey n d s ih t ih ng,ay w ao z d iy ao n l iy w ah n hh uw r iy m ey n s iy t ih ng,5
25,L2_arctic_WAV/HQTV_arctic_a0038,w ih l hh ae v t uw w aa ch aw r ch ae n s ih z,w ih w hh ae v t uw w aa ch aw ch ae n s ih s,5
26,L2_arctic_WAV/HQTV_arctic_a0039,dh ah sh ih p sh uh d b iy ih n w ih th ih n ah w iy k ao r t eh n d ey z,d ah sh ih p s uh d b iy ih n w ih th ih n ah w iy k ao t eh n d ey z,5
27,L2_arctic_WAV/HQTV_arctic_a0040,ay s ah p ow z y uw w ah n d er w ay sh iy ih z k ah m ih ng ah p hh iy r,ay s ah b ow y uw w ao n d ah w ay sh iy ih z k ah m ih ng ah p hh iy ah,5
28,L2_arctic_WAV/HQTV_arctic_a0041,m iy n w ay l ay l g ow aw t t ih b r iy dh ah s p eh l,m iy n w ay ay g ow ih ng aw t t ih s b r iy th dh ah s p eh w,5
29,L2_arctic_WAV/HQTV_arctic_a0042,hh aw k uh d hh iy ih k s p l ey n hh ih z p ah z eh sh ah n ah v dh ah s k eh ch,hh aw k uw d hh iy ih s p l ey n hh ih z b ah s eh s ah n ao b d ah s k eh ch,5
30,L2_arctic_WAV/HQTV_arctic_a0045,hh iy m uw v d ah w ey ae z k w ay ah t l iy ae z hh iy hh ae d k ah m,hh iy m uw v ah w ey ae s k w ay ah* t l iy ae s hh iy hh ae z k ah m,5
31,L2_arctic_WAV/HQTV_arctic_a0046,dh ah g er l f ey s t hh ih m hh er ay z sh ay n ih ng w ih dh s ah d ah n f ih r,d ah g er f ey s hh iy m hh er ay z sh ay n ih ng w ih d ah s ah d ah n f ih ah,5
32,L2_arctic_WAV/HQTV_arctic_a0047,k l ow z b ih s ay d hh ih m g l iy m d dh ah w ay t f ae ng z ah v dh ah w uh l f d ao g,k l ow z b iy s ay d hh ih m k l iy m d ah w ay f ae ng z ao v d ah w ao f d ao g,5
33,L2_arctic_WAV/HQTV_arctic_a0048,hh iy l uh k t ae t dh ah hh ae ng k er ch ih f m ao r k l ow s l iy,hh iy l uw k ae t d ah hh ae ng k ah ch eh p m ao r k l ow s l iy,5
34,L2_arctic_WAV/HQTV_arctic_a0051,dh ah l ey s w ao z ah v ah d eh l ah k ah t ay v er iy k ah l er f ey n t l iy t ih n t ih d w ih th y eh l ow,d ah l ey z w ah ao f ah d eh l ih k ey t ay v er iy k ao l er f ey t l iy t ay n iy d w ih t y eh* l ow,5
35,L2_arctic_WAV/HQTV_arctic_a0052,ih t w ao z ah k y uh r iy ah s k ow ih n s ih d ah n s,ay w ao z k y uh r iy ah z k ao s iy d ah n s,5
36,L2_arctic_WAV/HQTV_arctic_a0053,s ah d ah n l iy hh ih z f ih ng g er z k l ow z d t ay t l iy ow v er dh ah hh ae ng k er ch ih f,sh ah d ah n l iy hh iy z f ih ng g ah k l ow z d t ay l iy ow v ah d ah hh ae ng k ao v ih ch ih p,5
37,L2_arctic_WAV/HQTV_arctic_a0054,dh eh r w ao z n ah th ih ng aa n dh ah r aa k,d eh s w ao z n ao t ih ng aa n d ah r* ao k,5
38,L2_arctic_WAV/HQTV_arctic_a0058,ay k ey m f ao r ih n f ao r m ey sh ah n m ao r aw t ah v k y uh r iy aa s ah t iy dh ae n eh n iy th ih ng eh l s,ay k ey m f ao ih n f ao m ey sh ah n m ao aw ao f k y uh r aa s ah t iy d ae n eh n iy th ih ng eh w z,5
39,L2_arctic_WAV/HQTV_arctic_a0059,hh ih z ih m ae k y uw l ih t ah p ih r ah n s w ah z g ao n,hh iy s ih m aa* k uw l ey t ah p ih r ah n s w ah z g ao n,5
40,L2_arctic_WAV/HQTV_arctic_a0060,eh n iy w ey n ow w ah n s ao hh er l ay k dh ae t,eh n iy w ey n ow w ah n sh ao hh ah l ay d ae t,5
41,L2_arctic_WAV/HQTV_arctic_a0062,dh ah m eh n s t eh r d ih n t uw iy ch ah dh er z f ey s,d ah m ae n s t ey ih n t uw ih ch aa* d ah f ey s,5
42,L2_arctic_WAV/HQTV_arctic_a0063,y eh s ih t w ah z ah m ae n hh uw ae s k t ah s t r ey n jh er,y eh s ih s w ah z ah m ae n hh uw ae k s ah s t r ey n g ah,5
43,L2_arctic_WAV/HQTV_arctic_a0064,dh ah f ao r th ae n d f ih th d ey z p ae s t w ih th aw t eh n iy d ih v eh l ah p m ah n t s,d ah f ao th ae n f iy t d ey z p aa* s w ih th ay eh n iy d ih v eh l ah p m ah n z,5
44,L2_arctic_WAV/HQTV_arctic_a0065,dh ey k l ow z d n aw ah n t ih l hh ih z f ih ng g er z w er l ay k k ao r d z ah v s t iy l,d ey k l ow z d n aw ah n t ih w hh ih s f ih ng g ah z w ah z l ay k k ao s ah v s t iy w,5
45,L2_arctic_WAV/HQTV_arctic_a0067,sh uh r l iy ay w ih l ih k s k y uw z y uw sh iy k r ay d,sh uh l iy ay w ih w ih s k iy uw y uw s iy k r ay,5
46,L2_arctic_WAV/HQTV_arctic_a0071,w ah t w ao z dh ah aa b jh eh k t ah v y uh r l ih t ah l s eh n s ey sh ah n,w ao s w ah ah ao b jh eh k t s ah v y ao l iy t ow* s eh n s ey sh ah n,5
47,L2_arctic_WAV/HQTV_arctic_a0073,dh ah p r ah m ow t er z ay z w er hh eh v iy w ih th l ih t ah l p ah f iy b ae g z ah n d er dh ah m,d ah p r ow m ow t er ay z w ah hh ae v iy w ih t l iy t ow* p ah f iy b ae z ah n d ah d ah m,5
48,L2_arctic_WAV/HQTV_arctic_a0075,dh eh r hh ae z b ih n ey ch ey n jh sh iy ih n t er ah p t ih d hh ih m,d eh hh ae z b iy n ey ch ey n s s iy ih n t er ah p t ih d hh ih m,5
49,L2_arctic_WAV/HQTV_arctic_a0076,dh ah g r ey ay z f aa l t er d dh ah f l ah sh d iy p ah n d,d ah g r ey ay z f ao n t ah d ah f l* ao sh d iy p ah n ah,5
50,L2_arctic_WAV/HQTV_arctic_a0077,ih t ih z dh ah f ay r p aa r t l iy sh iy s eh d,iy s iy d ah f ay p aa r l iy sh iy s eh* t,5
51,L2_arctic_WAV/HQTV_arctic_a0078,dh eh n ae n d ae t s ah p er hh iy t r ay d t ah f ae dh ah m hh er,d eh n ae n d ae s uw p er hh iy t r ay d t ah f ey d ah m hh ah,5
52,L2_arctic_WAV/HQTV_arctic_a0079,ih t w ah z ah l aa r jh k ah n uw,iy s w ah ah l aa sh k aa* n uw,5
53,L2_arctic_WAV/HQTV_arctic_a0081,w ah t ih f sh iy d ih d n aa t k ah m t ih dh ah r aa k,w ah t ih f sh iy d iy t n ao t k ah m t ih dh ah r* aa k,5
54,L2_arctic_WAV/HQTV_arctic_a0082,hh ih z f ey s w ah z s t r iy m ih ng w ih dh b l ah d,hh iy f ey w ah z s t r iy m ah l ih ng w ih d b l ah t,5
55,L2_arctic_WAV/HQTV_arctic_a0085,ah t r ih k ah l ah v f r eh sh b l ah d r ae n ow v er hh ih z f ey s,ah t r ih k ow* ao v f r eh sh b l ah t r ae n ow v ah hh ih z f ey z,5
